channelId,portId,channelName,channelLength,channelWidth,channelDepth,channelDepthAtChartDatum,oneWayOrTwoWay,maxVesselLOA,maxVesselBeam,maxVesselDraft,trafficSeparationScheme,speedLimit,tidalWindowRequired,pilotageCompulsory,tugEscortRequired,dayNightRestrictions,visibilityMinimum,windSpeedLimit,currentSpeedLimit,channelSegments,anchorageAreaId
104,26,Jawaharlal Nehru Port Inner Navigation Channel,2793,242,14.5,13.3,One-Way,354,52,13,FALSE,12,TRUE,TRUE,FALSE,Daylight Hours Preferred,500,45,2.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 864, ""width"": 266, ""depth"": 14.8, ""bearing"": 306}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 457, ""width"": 214, ""depth"": 14.1, ""bearing"": 350}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1472, ""width"": 237, ""depth"": 15.0, ""bearing"": 183}]",104
105,26,Jawaharlal Nehru Port Basin Access Channel,672,234,12.4,11.2,One-Way,253,50,10.9,FALSE,10,TRUE,TRUE,TRUE,Daylight Hours Preferred,750,40,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 265, ""width"": 205, ""depth"": 11.9, ""bearing"": 40}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 158, ""width"": 238, ""depth"": 12.0, ""bearing"": 343}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 249, ""width"": 211, ""depth"": 12.1, ""bearing"": 198}]",105
106,26,Jawaharlal Nehru Port Terminal Access Fairway,1231,188,10.4,9.4,One-Way,300,43,8.9,TRUE,6,TRUE,TRUE,TRUE,Daylight Hours Preferred,500,35,2.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 286, ""width"": 206, ""depth"": 10.5, ""bearing"": 42}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 351, ""width"": 169, ""depth"": 9.9, ""bearing"": 57}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 194, ""width"": 170, ""depth"": 10.6, ""bearing"": 280}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 99, ""width"": 195, ""depth"": 10.5, ""bearing"": 221}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 301, ""width"": 218, ""depth"": 10.6, ""bearing"": 95}]",106
107,27,Chennai Port Main Approach Channel,15627,568,19.3,17.9,Two-Way,398,55,17.8,TRUE,10,TRUE,TRUE,TRUE,Night Transit with Enhanced Pilotage,500,35,3.4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 5948, ""width"": 555, ""depth"": 19.8, ""bearing"": 33}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 9679, ""width"": 568, ""depth"": 19.4, ""bearing"": 56}]",107
108,27,Chennai Port Inner Navigation Channel,5835,309,17.4,16.7,Two-Way,364,53,15.9,TRUE,8,FALSE,TRUE,TRUE,24/7 Operations,750,40,2.4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2197, ""width"": 313, ""depth"": 17.6, ""bearing"": 283}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1382, ""width"": 305, ""depth"": 17.7, ""bearing"": 343}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 695, ""width"": 291, ""depth"": 17.0, ""bearing"": 125}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1561, ""width"": 295, ""depth"": 17.8, ""bearing"": 133}]",108
109,27,Chennai Port Basin Access Channel,2931,117,12.3,11,Two-Way,251,42,10.8,FALSE,8,FALSE,TRUE,TRUE,None,500,45,2.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 635, ""width"": 110, ""depth"": 12.2, ""bearing"": 262}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2296, ""width"": 96, ""depth"": 12.1, ""bearing"": 160}]",109
110,27,Chennai Port Terminal Access Fairway,1205,182,14.7,13.7,One-Way,315,45,13.2,FALSE,6,FALSE,TRUE,FALSE,Daylight Hours Preferred,1000,30,2.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 184, ""width"": 210, ""depth"": 14.7, ""bearing"": 71}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1021, ""width"": 158, ""depth"": 15.1, ""bearing"": 248}]",110
111,28,Cochin Port Main Approach Channel,20501,452,19.2,18.5,Two-Way,381,56,17.7,TRUE,14,FALSE,TRUE,FALSE,None,500,35,3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 4548, ""width"": 466, ""depth"": 19.1, ""bearing"": 315}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 5620, ""width"": 476, ""depth"": 18.9, ""bearing"": 328}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 10333, ""width"": 481, ""depth"": 18.8, ""bearing"": 133}]",111
112,28,Cochin Port Inner Navigation Channel,7907,263,17.9,17.2,Two-Way,347,48,16.4,FALSE,10,FALSE,TRUE,TRUE,24/7 Operations,1000,30,3.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2219, ""width"": 278, ""depth"": 18.0, ""bearing"": 256}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2216, ""width"": 285, ""depth"": 18.1, ""bearing"": 246}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1010, ""width"": 285, ""depth"": 18.1, ""bearing"": 153}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 2462, ""width"": 235, ""depth"": 18.0, ""bearing"": 314}]",112
113,28,Cochin Port Basin Access Channel,2158,115,13.7,12.7,One-Way,317,45,12.2,TRUE,8,TRUE,TRUE,FALSE,Daylight Hours Preferred,500,35,3.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 697, ""width"": 122, ""depth"": 13.3, ""bearing"": 37}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1461, ""width"": 95, ""depth"": 13.7, ""bearing"": 159}]",113
114,28,Cochin Port Terminal Access Fairway,537,98,12.5,11.7,One-Way,269,43,11,FALSE,8,TRUE,TRUE,TRUE,24/7 Operations,1000,30,3.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 171, ""width"": 126, ""depth"": 12.9, ""bearing"": 14}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 109, ""width"": 109, ""depth"": 12.6, ""bearing"": 4}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 96, ""width"": 113, ""depth"": 12.5, ""bearing"": 35}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 161, ""width"": 87, ""depth"": 12.9, ""bearing"": 296}]",114
115,29,Mundra Port Main Approach Channel,12920,347,16.9,16.3,Two-Way,378,59,15.4,TRUE,12,FALSE,FALSE,TRUE,None,500,40,3.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 4734, ""width"": 337, ""depth"": 17.2, ""bearing"": 122}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1754, ""width"": 324, ""depth"": 17.4, ""bearing"": 330}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1682, ""width"": 354, ""depth"": 17.3, ""bearing"": 128}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 4750, ""width"": 336, ""depth"": 16.7, ""bearing"": 30}]",115
116,29,Mundra Port Inner Navigation Channel,2047,255,14.4,13.7,One-Way,329,53,12.9,TRUE,12,FALSE,TRUE,TRUE,Daylight Hours Preferred,500,35,2.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 707, ""width"": 284, ""depth"": 14.8, ""bearing"": 289}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 273, ""width"": 247, ""depth"": 14.7, ""bearing"": 289}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 170, ""width"": 262, ""depth"": 14.6, ""bearing"": 26}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 897, ""width"": 230, ""depth"": 14.8, ""bearing"": 50}]",116
117,29,Mundra Port Basin Access Channel,811,140,11.5,10.2,One-Way,278,45,10,FALSE,8,TRUE,TRUE,TRUE,None,750,35,2.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 129, ""width"": 140, ""depth"": 11.8, ""bearing"": 353}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 184, ""width"": 144, ""depth"": 11.4, ""bearing"": 319}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 88, ""width"": 146, ""depth"": 11.9, ""bearing"": 286}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 141, ""width"": 114, ""depth"": 11.5, ""bearing"": 357}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 269, ""width"": 127, ""depth"": 11.7, ""bearing"": 205}]",117
118,29,Mundra Port Terminal Access Fairway,1335,183,10.9,9.9,One-Way,308,47,9.4,FALSE,6,FALSE,TRUE,TRUE,24/7 Operations,500,45,2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 349, ""width"": 189, ""depth"": 10.7, ""bearing"": 320}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 986, ""width"": 153, ""depth"": 10.4, ""bearing"": 53}]",118
119,30,Pipavav Port Main Approach Channel,21250,475,23.9,22.7,Two-Way,382,56,22.4,TRUE,10,FALSE,FALSE,TRUE,None,500,35,2.4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 7347, ""width"": 461, ""depth"": 24.2, ""bearing"": 155}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 5384, ""width"": 499, ""depth"": 23.7, ""bearing"": 35}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 8519, ""width"": 458, ""depth"": 24.1, ""bearing"": 126}]",119
120,30,Pipavav Port Inner Navigation Channel,7468,274,13.1,12.2,One-Way,345,49,11.6,FALSE,10,TRUE,TRUE,TRUE,Daylight Hours Preferred,1500,45,2.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1773, ""width"": 282, ""depth"": 13.6, ""bearing"": 248}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1923, ""width"": 269, ""depth"": 13.3, ""bearing"": 351}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 3772, ""width"": 285, ""depth"": 13.2, ""bearing"": 259}]",120
121,30,Pipavav Port Basin Access Channel,2443,123,13.1,12.3,Two-Way,250,45,11.6,FALSE,10,FALSE,TRUE,FALSE,Daylight Hours Preferred,1000,40,3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 589, ""width"": 137, ""depth"": 13.2, ""bearing"": 227}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1854, ""width"": 130, ""depth"": 12.8, ""bearing"": 201}]",121
122,30,Pipavav Port Terminal Access Fairway,1470,161,13.3,12.6,One-Way,303,40,11.8,FALSE,10,FALSE,TRUE,TRUE,None,1500,40,2.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 559, ""width"": 169, ""depth"": 13.7, ""bearing"": 352}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 911, ""width"": 150, ""depth"": 13.3, ""bearing"": 55}]",122
123,31,Port of Colombo Main Approach Channel,8382,306,17.7,17.1,Two-Way,387,64,16.2,TRUE,10,FALSE,TRUE,TRUE,None,1000,30,2.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1283, ""width"": 301, ""depth"": 17.5, ""bearing"": 210}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2491, ""width"": 288, ""depth"": 17.2, ""bearing"": 123}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 4608, ""width"": 277, ""depth"": 17.6, ""bearing"": 65}]",123
124,31,Port of Colombo Inner Navigation Channel,4545,236,12.9,12.2,One-Way,346,51,11.4,TRUE,8,TRUE,TRUE,FALSE,Daylight Hours Preferred,750,45,3.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1526, ""width"": 248, ""depth"": 12.5, ""bearing"": 254}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3019, ""width"": 258, ""depth"": 12.7, ""bearing"": 113}]",124
125,31,Port of Colombo Basin Access Channel,754,192,10.1,8.7,Two-Way,308,47,8.6,FALSE,8,TRUE,TRUE,TRUE,Daylight Hours Preferred,750,30,3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 300, ""width"": 200, ""depth"": 9.7, ""bearing"": 320}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 134, ""width"": 187, ""depth"": 10.2, ""bearing"": 185}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 320, ""width"": 207, ""depth"": 9.9, ""bearing"": 334}]",125
126,31,Port of Colombo Terminal Access Fairway,1000,173,12.8,11.5,One-Way,315,40,11.3,FALSE,10,FALSE,TRUE,FALSE,24/7 Operations,1500,35,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 396, ""width"": 192, ""depth"": 12.8, ""bearing"": 98}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 604, ""width"": 169, ""depth"": 12.9, ""bearing"": 85}]",126
127,32,Port of Chittagong Main Approach Channel,16224,469,16.2,14.7,One-Way,373,56,14.7,FALSE,12,TRUE,TRUE,FALSE,Night Transit with Enhanced Pilotage,1000,30,3.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2679, ""width"": 490, ""depth"": 16.5, ""bearing"": 202}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2360, ""width"": 496, ""depth"": 15.9, ""bearing"": 254}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2464, ""width"": 445, ""depth"": 16.0, ""bearing"": 9}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 8721, ""width"": 484, ""depth"": 16.0, ""bearing"": 318}]",127
128,32,Port of Chittagong Inner Navigation Channel,4984,180,13.9,12.8,One-Way,305,49,12.4,FALSE,8,FALSE,TRUE,TRUE,Daylight Hours Preferred,1000,30,3.2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1513, ""width"": 201, ""depth"": 14.1, ""bearing"": 87}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 620, ""width"": 153, ""depth"": 14.1, ""bearing"": 243}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1132, ""width"": 162, ""depth"": 13.7, ""bearing"": 70}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1719, ""width"": 171, ""depth"": 14.0, ""bearing"": 45}]",128
129,32,Port of Chittagong Basin Access Channel,2433,244,10.1,8.7,Two-Way,303,42,8.6,TRUE,10,TRUE,TRUE,FALSE,24/7 Operations,1000,40,2.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 470, ""width"": 270, ""depth"": 10.0, ""bearing"": 188}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1963, ""width"": 215, ""depth"": 10.3, ""bearing"": 310}]",129
130,32,Port of Chittagong Terminal Access Fairway,1233,108,14.3,13.4,One-Way,265,49,12.8,FALSE,6,FALSE,TRUE,FALSE,None,750,40,2.2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 470, ""width"": 116, ""depth"": 14.6, ""bearing"": 207}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 293, ""width"": 114, ""depth"": 14.5, ""bearing"": 89}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 470, ""width"": 133, ""depth"": 14.5, ""bearing"": 260}]",130
131,33,Port of Karachi Main Approach Channel,24965,264,24.3,22.9,Two-Way,377,63,22.8,TRUE,10,FALSE,TRUE,FALSE,24/7 Operations,1000,40,3.2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 8678, ""width"": 261, ""depth"": 24.3, ""bearing"": 19}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 16287, ""width"": 261, ""depth"": 24.2, ""bearing"": 79}]",131
132,33,Port of Karachi Inner Navigation Channel,7191,304,14.9,13.9,One-Way,324,55,13.4,TRUE,10,FALSE,FALSE,TRUE,Daylight Hours Preferred,750,45,3.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1971, ""width"": 284, ""depth"": 14.4, ""bearing"": 286}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1801, ""width"": 323, ""depth"": 14.8, ""bearing"": 309}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 3419, ""width"": 299, ""depth"": 14.7, ""bearing"": 79}]",132
133,33,Port of Karachi Basin Access Channel,1777,105,10.5,9.4,One-Way,290,49,9,TRUE,6,TRUE,TRUE,TRUE,Daylight Hours Preferred,1000,30,3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 689, ""width"": 89, ""depth"": 10.7, ""bearing"": 34}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 328, ""width"": 78, ""depth"": 11.0, ""bearing"": 238}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 265, ""width"": 109, ""depth"": 10.4, ""bearing"": 131}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 495, ""width"": 112, ""depth"": 10.4, ""bearing"": 224}]",133
134,33,Port of Karachi Terminal Access Fairway,666,101,13.8,12.7,One-Way,256,42,12.3,FALSE,8,FALSE,TRUE,FALSE,Daylight Hours Preferred,750,35,3.5,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 249, ""width"": 120, ""depth"": 13.4, ""bearing"": 55}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 63, ""width"": 105, ""depth"": 13.9, ""bearing"": 45}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 111, ""width"": 108, ""depth"": 13.8, ""bearing"": 105}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 43, ""width"": 106, ""depth"": 14.1, ""bearing"": 157}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 200, ""width"": 99, ""depth"": 14.0, ""bearing"": 335}]",134
135,34,Port Qasim Main Approach Channel,13567,497,21.5,20.3,Two-Way,372,61,20,TRUE,10,FALSE,TRUE,TRUE,24/7 Operations,1500,30,3.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2681, ""width"": 520, ""depth"": 21.3, ""bearing"": 17}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3845, ""width"": 499, ""depth"": 21.2, ""bearing"": 187}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2314, ""width"": 500, ""depth"": 22.0, ""bearing"": 241}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1234, ""width"": 511, ""depth"": 21.4, ""bearing"": 107}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 3493, ""width"": 478, ""depth"": 21.2, ""bearing"": 176}]",135
136,34,Port Qasim Inner Navigation Channel,3267,328,16.7,15.4,Two-Way,316,52,15.2,FALSE,10,FALSE,TRUE,FALSE,Daylight Hours Preferred,500,35,3.4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 754, ""width"": 313, ""depth"": 16.3, ""bearing"": 4}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 792, ""width"": 300, ""depth"": 16.6, ""bearing"": 108}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1721, ""width"": 341, ""depth"": 17.2, ""bearing"": 342}]",136
137,34,Port Qasim Basin Access Channel,2164,127,10.2,9.5,One-Way,269,40,8.7,TRUE,8,TRUE,TRUE,TRUE,Daylight Hours Preferred,1500,45,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 779, ""width"": 120, ""depth"": 10.6, ""bearing"": 61}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 245, ""width"": 127, ""depth"": 10.3, ""bearing"": 294}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1140, ""width"": 125, ""depth"": 10.1, ""bearing"": 13}]",137
138,34,Port Qasim Terminal Access Fairway,559,97,11,10.2,One-Way,310,42,9.5,FALSE,6,FALSE,TRUE,FALSE,None,750,35,3.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 191, ""width"": 73, ""depth"": 11.4, ""bearing"": 36}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 368, ""width"": 109, ""depth"": 11.4, ""bearing"": 15}]",138
139,35,Jebel Ali Port Main Approach Channel,16258,575,20.3,19.2,Two-Way,383,65,18.8,TRUE,12,FALSE,TRUE,TRUE,Night Transit with Enhanced Pilotage,1500,35,2.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 3907, ""width"": 574, ""depth"": 20.7, ""bearing"": 261}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3816, ""width"": 563, ""depth"": 20.7, ""bearing"": 262}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2815, ""width"": 565, ""depth"": 19.8, ""bearing"": 210}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 5720, ""width"": 574, ""depth"": 19.9, ""bearing"": 307}]",139
140,35,Jebel Ali Port Inner Navigation Channel,5821,158,16.4,15.7,One-Way,320,52,14.9,TRUE,12,FALSE,TRUE,FALSE,24/7 Operations,500,40,3.2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2186, ""width"": 156, ""depth"": 16.6, ""bearing"": 107}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 825, ""width"": 183, ""depth"": 16.9, ""bearing"": 268}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 597, ""width"": 154, ""depth"": 16.4, ""bearing"": 3}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 2213, ""width"": 161, ""depth"": 16.3, ""bearing"": 350}]",140
141,35,Jebel Ali Port Basin Access Channel,592,184,12.9,11.6,One-Way,288,50,11.4,FALSE,10,TRUE,TRUE,TRUE,24/7 Operations,750,40,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 138, ""width"": 154, ""depth"": 12.8, ""bearing"": 69}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 454, ""width"": 157, ""depth"": 12.6, ""bearing"": 275}]",141
142,35,Jebel Ali Port Deep Water Tanker Channel,11621,471,29.3,28.7,One-Way,373,59,27.3,TRUE,14,TRUE,TRUE,TRUE,24/7 Operations,2000,25,2.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2603, ""width"": 498, ""depth"": 29.5, ""bearing"": 303}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 9018, ""width"": 452, ""depth"": 29.1, ""bearing"": 245}]",142
143,35,Jebel Ali Port LNG Approach Channel,8142,327,15.9,15.1,One-Way,282,50,14.4,TRUE,10,TRUE,TRUE,TRUE,24/7 Operations,1000,25,2.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1639, ""width"": 307, ""depth"": 15.9, ""bearing"": 352}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1048, ""width"": 314, ""depth"": 16.4, ""bearing"": 173}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 5455, ""width"": 319, ""depth"": 16.3, ""bearing"": 187}]",143
144,36,Khalifa Port Main Approach Channel,15105,287,21.5,20.7,One-Way,399,62,20,TRUE,14,FALSE,TRUE,TRUE,24/7 Operations,750,45,3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 5065, ""width"": 259, ""depth"": 21.4, ""bearing"": 37}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3634, ""width"": 259, ""depth"": 21.1, ""bearing"": 160}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1011, ""width"": 272, ""depth"": 21.0, ""bearing"": 67}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1535, ""width"": 266, ""depth"": 21.0, ""bearing"": 12}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 3860, ""width"": 290, ""depth"": 21.7, ""bearing"": 291}]",144
145,36,Khalifa Port Inner Navigation Channel,5653,187,17.3,16.5,One-Way,303,55,15.8,TRUE,8,FALSE,TRUE,FALSE,Daylight Hours Preferred,750,35,4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2254, ""width"": 177, ""depth"": 17.1, ""bearing"": 41}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1135, ""width"": 160, ""depth"": 16.9, ""bearing"": 321}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 662, ""width"": 158, ""depth"": 17.3, ""bearing"": 238}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1602, ""width"": 209, ""depth"": 17.6, ""bearing"": 310}]",145
146,36,Khalifa Port Basin Access Channel,1210,145,13.7,12.9,One-Way,263,48,12.2,FALSE,8,FALSE,TRUE,TRUE,Daylight Hours Preferred,1000,40,3.5,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 414, ""width"": 146, ""depth"": 14.1, ""bearing"": 313}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 314, ""width"": 115, ""depth"": 13.3, ""bearing"": 101}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 482, ""width"": 153, ""depth"": 14.1, ""bearing"": 304}]",146
147,36,Khalifa Port Terminal Access Fairway,1134,147,10,8.6,One-Way,277,48,8.5,FALSE,6,TRUE,TRUE,FALSE,Daylight Hours Preferred,1000,30,2.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 198, ""width"": 141, ""depth"": 9.9, ""bearing"": 251}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 140, ""width"": 173, ""depth"": 10.1, ""bearing"": 159}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 796, ""width"": 146, ""depth"": 9.5, ""bearing"": 112}]",147
148,36,Khalifa Port Deep Water Tanker Channel,14053,383,25.7,24.6,Two-Way,352,62,23.7,TRUE,12,FALSE,TRUE,TRUE,Day Only for Deep Draft,1500,35,3.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 4162, ""width"": 374, ""depth"": 25.6, ""bearing"": 230}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1634, ""width"": 363, ""depth"": 26.1, ""bearing"": 97}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1651, ""width"": 400, ""depth"": 25.9, ""bearing"": 257}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 2468, ""width"": 379, ""depth"": 25.6, ""bearing"": 209}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 4138, ""width"": 386, ""depth"": 25.7, ""bearing"": 343}]",148
