recordId,vesselType,vesselLOA,vesselBeam,blockCoefficient,transitSpeed,cargoType,vesselStaticDraft,vesselDynamicDraft,cargoCondition,arrivalDraft,departureDraft,requiredUKC,requiredUKCSpec,ukcPolicy,channelDepthAtTide,berthDepthAtTide,tideHeight,waveCondition,waveHeight,squatAllowance,heelAllowance,waveResponseAllowance,safetyMargin,totalAllowances,calculatedUKC,ukcMargin,ukcStatus,optimalTransitTime,isConfined
278,ULCV,387,60,0.707,21.3,Containers,15.13,18.13,Laden,15.13,9.08,1.34,8.9%,Net,21.5,20.4,3.79,Slight,0.79,3,0.38,0.2,0.48,4.06,2.79,1.45,Safe,04:45,TRUE
279,ULCV,385,58,0.687,21.9,Containers,15.61,18.61,Laden,15.61,9.37,1.73,1.73m,Gross,20.1,18.9,1.66,Calm,0.38,3,0.73,0,0.42,4.15,4.49,2.76,Safe,03:45,TRUE
280,Feeder_Container,137,27,0.631,19.4,Containers,8.36,8.68,Ballast,5.68,8.36,1.25,1.25m,Gross,10.6,9.3,3.71,Moderate,2.44,3,0.28,1.22,0.78,5.28,4.92,3.67,Safe,14:00,TRUE
281,Handysize_Bulk,145,29,0.789,12.6,Grain,8.68,11.68,Laden,8.68,4.34,0.58,6.7%,Net,15.2,14.1,2.81,Moderate,1.64,3,0.24,0.82,0.55,4.61,2.46,1.88,Safe,07:15,TRUE
282,Panamax_Bulk,223,32,0.838,14.8,Grain,12.93,13.92,PartLaden,10.92,11,1.14,10.5%,Dynamic,17.6,16.8,4.35,Rough,3.35,3,0.23,1.5,0.37,5.1,1.95,0.81,Adequate,03:15,FALSE
283,Neo_Panamax,359,52,0.697,22.3,Containers,13.86,16.86,Laden,13.86,8.68,0.94,0.94m,Dynamic,20.4,19.5,1.16,Slight,0.73,3,0.74,0.2,0.73,4.67,2.6,1.66,Safe,19:30,TRUE
284,ULCV,382,59,0.682,23.5,Containers,14.54,11.72,Ballast,8.72,14.54,1.81,1.81m,Gross,12.6,11.2,2.24,Calm,0.4,3,0.63,0,0.39,4.02,3.88,2.07,Safe,09:15,TRUE
285,Aframax,256,43,0.795,14.3,Refined Products,13.52,16.52,Laden,13.52,6.76,1.83,13.6%,Gross,17.8,16.4,3.46,Calm,0.02,3,0.2,0,0.7,3.9,4.28,2.45,Safe,14:00,FALSE
286,LNG_Carrier,327,44,0.757,18.6,LNG,11.28,10.33,Ballast,7.33,8.26,1.87,1.87m,Gross,13.4,12.4,1.5,Calm,0.09,3,0.51,0,0.54,4.05,6.07,4.2,Safe,19:00,FALSE
287,Car_Carrier,191,31,0.588,18.7,Vehicles,9.72,10.29,Ballast,7.29,7.97,1.49,1.49m,Dynamic,13.4,11.9,8.52,Slight,0.58,3,0.33,0.29,0.61,4.23,2.49,1,Safe,19:00,FALSE
288,Panamax_Tanker,242,33,0.788,13.2,Chemicals,12.51,13.24,PartLaden,10.24,6.1,1.3,12.7%,Gross,15.3,13.9,5.29,Calm,0.38,3,0.26,0,0.49,3.75,5.06,3.76,Safe,23:45,TRUE
289,Handymax_Bulk,198,32,0.822,14.8,Cement,12.14,12.83,PartLaden,9.83,10.84,1.48,1.48m,Gross,15.6,13.8,2.21,Slight,1.13,3,0.15,0.56,0.43,4.14,5.77,4.29,Safe,22:15,TRUE
290,Panamax_Container,276,35,0.679,21.1,Containers,12,12.63,PartLaden,9.63,7.01,0.89,0.89m,Dynamic,15,14.1,11.93,Slight,0.57,3,0.48,0.21,0.69,4.38,1.68,0.79,Adequate,13:00,TRUE
291,General_Cargo,141,27,0.732,13.7,Project Cargo,8.11,7.82,PartLaden,5.28,7.22,1.04,1.04m,Dynamic,9.9,8.1,1.65,Slight,0.58,2.54,0.22,0.29,0.47,3.52,1.57,0.53,Adequate,23:00,FALSE
292,Handysize_Bulk,171,26,0.793,12.6,General Bulk,9.77,7.19,Ballast,4.88,8.38,0.71,14.6%,Gross,8.9,7,1.2,Moderate,2.48,2.31,0.21,1.24,0.4,4.16,4.02,3.31,Safe,02:45,FALSE
293,Aframax,232,48,0.802,14.1,Crude Oil,13.67,9.83,Ballast,6.83,13.67,0.53,7.8%,Net,13.3,11.9,0.98,Rough,3.27,3,0.42,1.41,0.65,5.48,1.64,1.11,Safe,23:45,TRUE
294,General_Cargo,164,25,0.713,12.3,General Cargo,9.62,12.62,Laden,9.62,6.32,0.8,0.8m,Net,14.3,13.4,4.2,Calm,0.32,3,0.13,0,0.4,3.53,1.55,0.75,Adequate,16:00,TRUE
295,General_Cargo,146,27,0.744,13.4,Steel,8.66,11.13,Laden,8.66,5.27,1.18,1.18m,Gross,14.6,14.1,4.85,Slight,0.53,2.47,0.24,0.27,0.48,3.46,5.94,4.76,Safe,23:15,FALSE
296,Panamax_Bulk,250,32,0.85,14.6,Coal,13.01,16.01,Laden,13.01,8.54,1.23,9.4%,Net,19.3,18.3,1.27,Rough,3.2,3,0.25,1.28,0.53,5.06,1.76,0.53,Adequate,09:00,FALSE
297,Panamax_Container,278,37,0.62,21.6,Containers,12.49,15.49,Laden,12.49,7.5,1.31,10.5%,Dynamic,19.6,19,4.45,Calm,0.14,3,0.49,0,0.48,3.97,3.62,2.31,Safe,19:30,TRUE
298,General_Cargo,159,20,0.725,14.1,Project Cargo,9.45,8.2,Ballast,5.2,7.51,0.5,8.9%,Dynamic,11.3,10.7,3.71,Slight,1.23,3,0.14,0.61,0.77,4.52,2.35,1.85,Safe,04:45,TRUE
299,MR_Tanker,177,30,0.784,14.9,Chemicals,11.3,14.3,Laden,11.3,6.22,0.78,0.78m,Net,17,15.3,6.27,Slight,1.23,3,0.15,0.61,0.65,4.41,1.94,1.16,Safe,13:30,TRUE
300,Neo_Panamax,353,52,0.669,23.1,Containers,13.78,11.54,Ballast,8.54,13.78,0.91,10.6%,Gross,14.5,13.5,5.61,Slight,0.76,3,0.57,0.22,0.51,4.3,5.96,5.05,Safe,10:45,TRUE
301,General_Cargo,123,22,0.745,14.7,Project Cargo,7.78,6.68,Ballast,4.28,7.78,0.75,0.75m,Net,9.3,8.7,3.14,Slight,1.05,2.4,0.21,0.53,0.71,3.85,1.88,1.13,Safe,14:30,FALSE
302,Feeder_Container,183,23,0.636,18.7,Containers,9.89,9.73,Ballast,6.73,8.65,0.68,0.68m,Net,12.6,11.2,2.37,Very Rough,4.38,3,0.15,1.5,0.36,5.01,1.22,0.54,Adequate,02:15,TRUE
303,Suezmax,293,55,0.823,14.2,Refined Products,16.73,19.73,Laden,16.73,8.03,1.99,11.9%,Dynamic,25.1,24.4,3.01,Calm,0.01,3,0.54,0,0.47,4.01,4.83,2.84,Safe,08:30,TRUE
304,Panamax_Tanker,245,38,0.793,13.2,Refined Products,11.68,12.03,PartLaden,9.03,10.11,0.76,8.4%,Net,13.5,12.3,4.14,Calm,0.01,3,0.18,0,0.63,3.81,1.29,0.53,Adequate,06:45,FALSE
305,Cruise_Ship,350,36,0.599,18.7,Passengers,8.59,11.59,Laden,8.59,7.73,1.14,1.14m,Dynamic,13.6,12.7,4.97,Calm,0.19,3,0.37,0,0.58,3.95,1.64,0.5,Adequate,01:15,FALSE
306,Suezmax,299,49,0.837,13.7,Refined Products,15.25,18.16,Laden,15.25,9.14,1.16,7.6%,Net,23.3,22.4,0.71,Calm,0,2.91,0.28,0,0.66,3.85,4.86,3.7,Safe,14:30,FALSE
307,Capesize_Bulk,282,47,0.868,14,Coal,18.28,21.28,Laden,18.28,12.48,1.54,1.54m,Gross,25.4,24.4,2.2,Calm,0.03,3,0.34,0,0.61,3.95,7.12,5.58,Safe,15:30,TRUE
308,Feeder_Container,142,24,0.621,19.2,Containers,8.8,11.8,Laden,8.8,5.98,1.29,1.29m,Dynamic,16,15.3,3.37,Moderate,1.9,3,0.26,0.95,0.61,4.82,2.99,1.7,Safe,10:30,TRUE
309,Cruise_Ship,316,36,0.592,18.3,Passengers,9.25,11.33,Ballast,8.33,9.25,1.19,1.19m,Dynamic,14.5,13.7,4.23,Slight,0.73,3,0.26,0.23,0.72,4.21,2.68,1.49,Safe,12:00,TRUE
310,Neo_Panamax,346,52,0.686,22.6,Containers,14.11,12.72,PartLaden,9.72,13.05,0.81,8.4%,Net,15.2,14.2,0.64,Calm,0.49,3,0.71,0,0.51,4.22,1.77,0.96,Adequate,04:45,FALSE
311,Feeder_Container,159,25,0.651,19.4,Containers,9.45,10.3,PartLaden,7.3,4.97,0.89,0.89m,Dynamic,12.8,12.3,3.63,Moderate,1.71,3,0.25,0.85,0.78,4.88,1.4,0.51,Adequate,23:00,TRUE
312,Panamax_Tanker,231,35,0.811,15.6,Refined Products,12.72,15.72,Laden,12.72,8.07,0.77,6.1%,Net,17.3,16.2,4.22,Calm,0.46,3,0.32,0,0.58,3.9,1.26,0.49,Marginal,03:00,FALSE
313,VLCC,322,66,0.831,12.9,Crude Oil,21.66,24.66,Laden,21.66,9.75,2.41,11.1%,Gross,27.8,27.1,1.87,Moderate,1.33,3,0.57,0.41,0.69,4.67,6.14,3.73,Safe,05:30,TRUE
314,ULCV,391,56,0.714,22.5,Containers,15.18,12.11,Ballast,9.11,11.53,0.74,8.1%,Dynamic,13.6,13.1,2.02,Slight,1.11,3,0.36,0.28,0.47,4.11,0.85,0.11,Marginal,23:30,TRUE
315,MR_Tanker,172,34,0.794,15.1,Refined Products,10.87,13.87,Laden,10.87,5.98,1.14,10.5%,Gross,17.1,15.1,0.1,Calm,0.35,3,0.26,0,0.48,3.74,6.23,5.09,Safe,07:00,FALSE
316,Suezmax,299,48,0.826,12.8,Crude Oil,15.1,10.25,Ballast,7.25,11.63,0.5,5.1%,Net,12.6,11,3.72,Calm,0.03,3,0.35,0,0.4,3.75,2,1.5,Safe,09:15,TRUE
317,General_Cargo,127,20,0.758,13.2,General Cargo,9.06,12.06,Laden,9.06,5.16,1.2,1.2m,Dynamic,14.6,13.2,4.78,Moderate,1.57,3,0.08,0.79,0.63,4.5,1.67,0.47,Marginal,00:45,TRUE
318,Aframax,240,48,0.819,14.9,Refined Products,12.97,15.97,Laden,12.97,6.49,1.33,1.33m,Gross,18.3,17.7,3.47,Slight,1.14,3,0.27,0.47,0.79,4.53,5.33,4,Safe,18:45,TRUE
319,LNG_Carrier,320,44,0.76,17.9,LNG,11.25,11.26,PartLaden,8.26,5.66,0.93,11.3%,Gross,14.5,13.5,1.89,Slight,0.93,3,0.52,0.29,0.65,4.46,6.24,5.31,Safe,06:30,TRUE
320,Neo_Panamax,321,52,0.658,21.8,Containers,14.41,11.93,Ballast,8.93,14.41,0.92,10.3%,Dynamic,15.9,14,1.17,Calm,0.2,3,0.74,0,0.6,4.34,3.23,2.31,Safe,22:00,TRUE
321,Car_Carrier,216,32,0.604,19.4,Vehicles,10.43,10.82,Ballast,7.82,8.4,1.26,1.26m,Dynamic,13.8,12.3,3.37,Moderate,2.1,3,0.3,0.97,0.44,4.71,1.71,0.45,Marginal,16:15,TRUE
322,Handymax_Bulk,175,34,0.82,13.9,Fertilizer,11.33,8.44,Ballast,5.44,11.33,0.76,13.9%,Gross,10.3,9.2,8.26,Slight,1.02,3,0.16,0.51,0.45,4.12,4.86,4.1,Safe,21:15,TRUE
323,Handymax_Bulk,183,34,0.839,14,Fertilizer,10.73,8.15,Ballast,5.15,8.83,0.5,8.4%,Dynamic,12.3,11.7,2.93,Moderate,2.07,3,0.17,1.03,0.71,4.91,2.95,2.45,Safe,02:00,TRUE
324,Panamax_Container,273,32,0.658,22.4,Containers,12.41,11.07,Ballast,8.07,11.11,1.16,1.16m,Dynamic,13.5,12.8,2.51,Slight,0.71,3,0.38,0.26,0.54,4.18,1.79,0.63,Adequate,17:15,FALSE
325,Capesize_Bulk,277,44,0.857,12.3,Iron Ore,16.93,19.93,Laden,16.93,7.11,1.29,1.29m,Gross,24.5,22.9,1.85,Rough,2.91,3,0.31,1.05,0.73,5.09,7.57,6.28,Safe,05:00,TRUE
326,Feeder_Container,167,30,0.645,16.8,Containers,9.64,12.64,Laden,9.64,6.56,0.75,7.8%,Net,16.1,15.5,0.94,Slight,0.57,3,0.14,0.28,0.41,3.83,3.04,2.29,Safe,07:30,TRUE
327,Panamax_Tanker,237,38,0.797,13.7,Chemicals,12.79,15.56,Laden,12.79,6.65,1.96,1.96m,Gross,21.7,20.6,1.46,Moderate,1.74,2.77,0.33,0.73,0.45,4.28,8.91,6.95,Safe,09:15,FALSE
328,Cruise_Ship,260,38,0.627,21.6,Passengers,8.85,11.85,Laden,8.85,7.96,0.9,0.9m,Net,14.1,12.7,5.4,Slight,0.76,3,0.55,0.29,0.54,4.38,1.41,0.51,Adequate,22:00,FALSE
329,MR_Tanker,176,32,0.79,14.8,Refined Products,11.06,11.17,PartLaden,8.17,10.51,1.22,1.22m,Dynamic,15.2,13.4,0.93,Calm,0.17,3,0.3,0,0.32,3.62,3.73,2.51,Safe,10:45,TRUE
330,Panamax_Bulk,246,34,0.827,13.9,Coal,13.52,9.08,Ballast,6.08,13.52,0.85,0.85m,Dynamic,12,10.1,0.6,Slight,0.94,3,0.25,0.38,0.72,4.35,2.29,1.44,Safe,18:00,TRUE
331,Cruise_Ship,308,37,0.594,23.4,Passengers,7.9,10.9,Laden,7.9,7.11,1.16,14.7%,Gross,15.9,14.9,3.41,Calm,0.4,3,0.41,0,0.54,3.95,8,6.84,Safe,14:45,FALSE
332,General_Cargo,121,26,0.726,12.6,Steel,9.67,12.67,Laden,9.67,5.32,0.86,0.86m,Net,16.2,15.6,1.72,Calm,0.35,3,0.11,0,0.36,3.47,3.42,2.56,Safe,06:15,TRUE
333,Panamax_Bulk,249,38,0.821,14.2,Iron Ore,13.39,16.39,Laden,13.39,6.03,1.59,1.59m,Gross,18.1,16.2,1.68,Moderate,2.27,3,0.29,0.91,0.47,4.67,4.71,3.12,Safe,13:15,TRUE
334,Suezmax,298,53,0.829,13.1,Crude Oil,16.28,19.28,Laden,16.28,9.97,1.65,10.1%,Gross,24.2,22.8,2.58,Moderate,1.96,3,0.42,0.66,0.37,4.45,7.92,6.27,Safe,17:15,TRUE
335,Feeder_Container,140,26,0.613,16.4,Containers,9.74,12.74,Laden,9.74,6.01,0.94,0.94m,Net,16,14.7,0.6,Calm,0.41,3,0.2,0,0.4,3.6,3.06,2.12,Safe,11:00,TRUE
336,ULCV,391,59,0.714,21.3,Containers,15.5,12.3,Ballast,9.3,13.66,1.02,10.9%,Gross,15.4,14.3,1.16,Moderate,1.78,3,0.38,0.46,0.66,4.5,6.1,5.08,Safe,06:00,TRUE
337,VLCC,337,65,0.832,13,Crude Oil,21.64,12.74,Ballast,9.74,21.64,1.02,10.5%,Gross,12.9,11.8,1.73,Moderate,1.91,3,0.47,0.57,0.47,4.51,3.16,2.14,Safe,14:00,TRUE
338,Feeder_Container,144,26,0.613,17.6,Containers,8.26,11.26,Laden,8.26,5.62,0.65,7.9%,Net,13.7,12.3,2.22,Moderate,2.08,3,0.29,1.04,0.47,4.8,1.11,0.46,Marginal,12:30,FALSE
339,Cruise_Ship,250,33,0.612,21.4,Passengers,9.42,11.48,Ballast,8.48,9.42,1.21,14.3%,Gross,14,12.9,9.09,Calm,0.15,3,0.32,0,0.42,3.74,5.52,4.31,Safe,06:15,TRUE
340,General_Cargo,143,26,0.757,14.2,Steel,8.63,11.63,Laden,8.63,4.75,1.36,1.36m,Dynamic,16.8,15.9,9.7,Slight,0.53,3,0.24,0.27,0.62,4.13,4.66,3.3,Safe,03:00,TRUE
341,Panamax_Tanker,238,37,0.792,13.3,Refined Products,11.63,14.63,Laden,11.63,6.92,0.73,6.3%,Net,17,16.3,9.07,Rough,2.89,3,0.23,1.21,0.43,4.87,0.93,0.2,Marginal,06:30,FALSE
342,Panamax_Bulk,227,38,0.839,14.9,Iron Ore,13.6,9.12,Ballast,6.12,10.26,0.5,7.6%,Net,10.7,9.5,1.53,Slight,0.94,3,0.39,0.41,0.73,4.53,0.78,0.28,Marginal,00:45,TRUE
343,Handymax_Bulk,195,28,0.816,13,Cement,11.76,14.76,Laden,11.76,5.64,0.98,0.98m,Dynamic,17.3,16,3.38,Slight,0.78,3,0.2,0.39,0.66,4.25,1.95,0.97,Adequate,15:00,TRUE
344,Suezmax,288,54,0.833,14.6,Crude Oil,16.88,17.08,PartLaden,14.08,8.08,1.64,11.6%,Dynamic,21.3,19.3,3.23,Calm,0.32,3,0.52,0,0.71,4.23,3.7,2.06,Safe,18:45,TRUE
345,Panamax_Container,279,37,0.622,20.9,Containers,12.33,12.42,PartLaden,9.42,7.59,0.95,10.1%,Dynamic,14.9,13.1,3.15,Rough,2.53,3,0.34,0.91,0.7,4.95,1.23,0.28,Marginal,20:00,TRUE
346,Panamax_Container,291,35,0.651,22.3,Containers,12.21,15.21,Laden,12.21,8.58,1.86,1.86m,Gross,18.7,16.9,1.02,Moderate,2.24,3,0.23,0.77,0.38,4.38,6.49,4.63,Safe,20:15,TRUE
347,LNG_Carrier,342,55,0.73,18.2,LNG,12.33,15.33,Laden,12.33,8.01,0.76,0.76m,Net,17.6,16.9,2.18,Moderate,1.26,3,0.68,0.37,0.79,4.84,1.22,0.46,Marginal,18:15,FALSE
348,Aframax,249,42,0.792,14.1,Refined Products,13.49,9.75,Ballast,6.75,10.81,0.93,13.8%,Gross,12.3,11.2,1.3,Slight,0.62,3,0.4,0.25,0.77,4.42,5.55,4.62,Safe,11:15,TRUE
349,Cruise_Ship,344,42,0.61,23.6,Passengers,8.19,9.52,PartLaden,6.52,6.94,0.6,9.2%,Dynamic,12.4,10.7,4.39,Very Rough,4.9,3,0.35,1.42,0.51,5.28,1.11,0.51,Adequate,09:30,TRUE
350,Cruise_Ship,301,32,0.616,21.1,Passengers,8.11,10.3,Ballast,7.3,8.11,1.19,1.19m,Dynamic,14.2,13.5,2.28,Calm,0.07,3,0.25,0,0.4,3.65,3.65,2.46,Safe,13:15,TRUE
351,Neo_Panamax,339,51,0.663,22,Containers,14.21,17.21,Laden,14.21,8.81,1.38,9.7%,Dynamic,21.6,20.8,1.41,Slight,0.77,3,0.52,0.23,0.49,4.24,3.64,2.26,Safe,16:45,TRUE
352,Feeder_Container,131,24,0.634,16.7,Containers,10.24,13.24,Laden,10.24,6.34,1.11,10.9%,Gross,14,12.5,3.49,Calm,0.32,3,0.24,0,0.77,4.01,3.76,2.65,Safe,15:00,TRUE
353,VLCC,330,56,0.838,11.1,Crude Oil,18.53,21.03,Laden,18.53,12.81,2.61,14.1%,Gross,25.9,24.8,3.74,Calm,0.48,2.5,0.27,0,0.62,3.39,7.37,4.76,Safe,18:45,FALSE
354,Capesize_Bulk,290,47,0.835,14.3,Coal,16.07,19.07,Laden,16.07,6.75,1.68,10.5%,Gross,21,20.2,1.06,Calm,0.29,3,0.24,0,0.38,3.62,4.93,3.25,Safe,17:45,TRUE
355,Handysize_Bulk,180,24,0.785,13.7,General Bulk,9.44,12.16,Laden,9.44,7.07,0.91,9.7%,Dynamic,15.1,13.8,4.92,Slight,0.76,2.72,0.11,0.38,0.76,3.97,2.45,1.54,Safe,23:30,FALSE
356,Handysize_Bulk,170,30,0.817,12.3,Grain,10.25,6.93,Ballast,5.12,10.25,0.92,0.92m,Net,13,11.5,2.34,Calm,0.15,1.81,0.11,0,0.62,2.54,5.96,5.04,Safe,09:30,FALSE
357,Aframax,232,47,0.786,13.7,Crude Oil,13.96,9.71,Ballast,6.98,13.96,1.35,1.35m,Gross,12.9,11.3,3.32,Slight,1.18,2.73,0.19,0.51,0.72,4.15,5.92,4.57,Safe,15:45,FALSE
358,MR_Tanker,179,34,0.798,15.9,Refined Products,9.73,12.73,Laden,9.73,6.97,1.26,1.26m,Dynamic,15.7,14.2,7.43,Slight,0.51,3,0.19,0.26,0.73,4.18,2.52,1.26,Safe,06:45,TRUE
359,ULCV,389,56,0.682,22.4,Containers,15.24,18.24,Laden,15.24,9.14,1.07,7.0%,Net,20.3,19.4,0.01,Calm,0.09,3,0.49,0,0.44,3.93,1.57,0.5,Adequate,22:15,TRUE
360,Feeder_Container,155,29,0.631,19.5,Containers,9.85,9.7,Ballast,6.7,8.39,0.55,0.55m,Net,11.2,9.9,2.03,Slight,0.62,3,0.15,0.31,0.67,4.13,1.04,0.49,Marginal,16:15,FALSE
361,Capesize_Bulk,273,45,0.848,12,Coal,16.49,9.93,Ballast,6.93,16.49,0.56,8.2%,Dynamic,11.8,11.1,1.52,Moderate,1.33,3,0.27,0.49,0.74,4.5,1.11,0.55,Adequate,10:45,TRUE
362,Car_Carrier,211,36,0.604,20.8,Vehicles,10,10.12,PartLaden,7.12,5.84,0.52,7.2%,Net,14.2,13.1,2.1,Calm,0.48,3,0.32,0,0.75,4.07,3.76,3.24,Safe,04:45,TRUE
363,MR_Tanker,170,34,0.795,14.4,Chemicals,11.1,9.11,Ballast,6.11,11.1,0.53,8.7%,Dynamic,10.8,9.5,4.13,Slight,0.74,3,0.3,0.37,0.77,4.44,1.02,0.49,Marginal,19:45,FALSE
364,Panamax_Bulk,241,33,0.824,14.6,Iron Ore,13.96,16.96,Laden,13.96,9.62,1.16,1.16m,Dynamic,20.9,19.3,7.46,Slight,0.77,3,0.15,0.32,0.74,4.21,3.47,2.31,Safe,21:45,TRUE
365,Capesize_Bulk,287,44,0.857,12.1,Iron Ore,16.71,14.68,PartLaden,11.68,8.25,1.2,1.2m,Gross,16.8,15.3,0.94,Slight,0.5,3,0.36,0.17,0.49,4.02,5.12,3.92,Safe,23:45,TRUE
366,LNG_Carrier,291,51,0.734,17.2,LNG,12.06,15.06,Laden,12.06,7.84,1.21,10.0%,Gross,17.3,16.5,3.99,Moderate,1.3,3,0.38,0.45,0.62,4.45,5.24,4.03,Safe,00:15,FALSE
367,Aframax,230,44,0.81,13.7,Crude Oil,12.8,13.37,PartLaden,10.37,11.86,1.49,14.4%,Gross,18.2,16.8,4.98,Slight,0.96,3,0.26,0.42,0.48,4.16,7.83,6.34,Safe,18:15,TRUE
368,Neo_Panamax,345,51,0.653,21,Containers,14.69,17.69,Laden,14.69,9.11,0.54,0.54m,Net,19.5,18.7,1,Slight,0.74,3,0.54,0.21,0.48,4.23,1.06,0.52,Adequate,06:30,TRUE
369,Car_Carrier,214,32,0.583,18.1,Vehicles,8.79,11.79,Laden,8.79,6.59,0.78,8.9%,Net,16.5,15.3,3.04,Slight,1.02,3,0.4,0.48,0.73,4.61,3.83,3.05,Safe,15:15,TRUE
370,Cruise_Ship,267,35,0.604,18.6,Passengers,8.55,10.7,Ballast,7.7,8.55,0.51,0.51m,Net,12,10.8,3.72,Calm,0.03,3,0.27,0,0.68,3.95,1.03,0.52,Adequate,02:15,FALSE
371,Cruise_Ship,270,33,0.646,23.5,Passengers,8.66,11.66,Laden,8.66,6.45,0.7,8.1%,Dynamic,13.6,12.5,4.06,Slight,0.64,3,0.46,0.24,0.38,4.08,1.24,0.54,Adequate,01:00,TRUE
372,Handymax_Bulk,172,29,0.817,13,Cement,10.01,9.9,PartLaden,7.36,5.51,0.62,8.5%,Net,11.3,10.1,2.97,Slight,0.63,2.54,0.12,0.32,0.71,3.69,0.96,0.34,Marginal,01:15,FALSE
373,ULCV,398,59,0.684,21.5,Containers,15.94,12.56,Ballast,9.56,13.3,0.84,8.7%,Net,16.9,15.8,0.44,Slight,0.91,3,0.8,0.23,0.68,4.71,3.31,2.47,Safe,14:00,FALSE
374,Neo_Panamax,326,50,0.67,23.4,Containers,14.86,12.66,PartLaden,9.66,8.52,1.43,1.43m,Gross,16.6,14.7,3.22,Moderate,2.3,3,0.43,0.71,0.39,4.53,6.94,5.51,Safe,14:30,TRUE
375,Neo_Panamax,339,51,0.691,22.5,Containers,13.54,11.39,Ballast,8.39,13.54,0.56,6.7%,Net,13.2,11.9,1.84,Calm,0.47,3,0.79,0,0.61,4.4,1.02,0.46,Marginal,14:00,TRUE
376,LNG_Carrier,319,50,0.735,16.5,LNG,11.81,11.5,PartLaden,8.5,6.19,1.93,1.93m,Gross,16.1,14.2,2.8,Moderate,1.81,3,0.51,0.57,0.5,4.58,7.6,5.67,Safe,16:30,FALSE
377,Panamax_Container,284,33,0.623,22.6,Containers,13.29,11.64,Ballast,8.64,13.29,1.33,1.33m,Dynamic,14.1,12.6,0.4,Slight,0.5,3,0.49,0.18,0.56,4.23,1.79,0.46,Marginal,04:15,FALSE
378,Panamax_Bulk,235,38,0.835,14.9,Iron Ore,14.15,17.15,Laden,14.15,10.24,1.65,11.6%,Dynamic,19.8,19.3,4.36,Calm,0.33,3,0.23,0,0.44,3.67,2.42,0.77,Adequate,16:15,TRUE
379,Car_Carrier,180,35,0.595,20.2,Vehicles,10.12,13.12,Laden,10.12,7.59,0.99,0.99m,Net,15.1,14.5,4.09,Calm,0.5,3,0.27,0.25,0.35,3.87,1.46,0.47,Marginal,16:15,FALSE
380,Car_Carrier,229,35,0.559,18.9,Vehicles,8.03,9.02,Ballast,6.02,8.03,0.5,5.1%,Net,10.8,9.4,1.22,Moderate,1.3,3,0.21,0.57,0.42,4.2,1,0.5,Adequate,21:30,TRUE
381,Panamax_Tanker,235,33,0.813,13.1,Chemicals,13.23,9.88,Ballast,6.88,10.72,1.84,1.84m,Gross,12.4,10.6,2.99,Moderate,2.13,3,0.2,0.91,0.74,4.85,5.52,3.68,Safe,08:45,TRUE
382,Handymax_Bulk,182,29,0.824,14,Fertilizer,10.62,8.09,Ballast,5.1,10.62,0.5,9.3%,Dynamic,9.7,8.8,1.96,Slight,0.74,2.99,0.25,0.37,0.67,4.28,0.99,0.49,Marginal,10:15,FALSE
383,Capesize_Bulk,298,47,0.832,14.9,Iron Ore,16.96,17.05,PartLaden,14.05,10.8,1.35,1.35m,Gross,20.9,19.2,4.2,Calm,0.4,3,0.25,0,0.62,3.87,6.85,5.5,Safe,09:45,FALSE
384,ULCV,400,61,0.698,23.8,Containers,15.8,18.8,Laden,15.8,9.48,1.29,8.2%,Net,23.6,22.7,11.78,Moderate,2.33,3,0.59,0.58,0.57,4.74,3.63,2.34,Safe,06:00,TRUE
385,General_Cargo,137,26,0.715,12.8,Project Cargo,7.64,8.07,PartLaden,5.07,4.88,0.65,0.65m,Net,9.5,8.1,1.27,Slight,1.06,3,0.18,0.53,0.58,4.29,0.72,0.07,Marginal,22:30,TRUE
386,Aframax,240,43,0.796,13.2,Crude Oil,12.98,13.91,PartLaden,10.91,10.59,0.92,0.92m,Net,16.5,15.9,1.49,Calm,0.2,3,0.19,0,0.33,3.52,2.4,1.48,Safe,06:00,TRUE
387,Neo_Panamax,322,50,0.671,21,Containers,13.92,16.92,Laden,13.92,8.63,0.78,0.78m,Net,20.1,18.6,1.84,Slight,0.59,3,0.66,0.18,0.42,4.26,2.34,1.56,Safe,10:30,FALSE
388,Feeder_Container,174,24,0.645,18.5,Containers,8.7,11.7,Laden,8.7,5.92,0.83,9.5%,Dynamic,14.1,13.3,0.82,Moderate,1.82,3,0.17,0.91,0.59,4.67,1.32,0.49,Marginal,15:45,TRUE
389,LNG_Carrier,316,44,0.735,19.1,LNG,11.27,12.15,PartLaden,9.15,9.89,1.8,1.8m,Gross,14.8,12.8,3.98,Slight,0.57,3,0.35,0.18,0.67,4.2,5.65,3.85,Safe,11:30,TRUE
390,Panamax_Tanker,238,32,0.803,15.6,Refined Products,11.17,14.17,Laden,11.17,5.81,1.18,10.6%,Gross,18.5,16.5,6.28,Calm,0.48,3,0.29,0,0.4,3.69,7.33,6.15,Safe,06:45,TRUE
391,VLCC,327,64,0.838,10,Crude Oil,20.28,22.29,Laden,20.28,9.13,2.57,12.6%,Gross,29.7,29.1,10.84,Moderate,1.48,2.01,0.23,0.45,0.39,3.08,9.42,6.85,Safe,06:45,FALSE
