vessel_id,imo_number,flagState,flagStateName,vessel_name,vessel_type,loa,beam,draft,grossTonnage,cargoType,cargoVolume,cargoUnit
520,9369435,SG,Singapore,MARAN STAR I,LNG Carrier,319,52,11.5,93239,LNG,160247,CBM
521,9413695,US,United States,STENA ANNE,MR Tanker,181,29,11.3,34124,Clean Petroleum Products,52794,MT
522,9316990,HK,Hong Kong,STAR MERCHANT V,Handymax Bulk,179,33,11.1,32941,Steel Coils,36131,MT
523,9584849,MH,Marshall Islands,TIDEWATER SUPPLIER,Offshore Supply,70,19,6.9,3540,Fuel,3069,MT
524,9289692,GB,United Kingdom,FEEDER SERVICE III,Feeder Container,198,30,9.7,13858,Containers,992,TEU
525,9792498,LR,Liberia,INTER PROGRESS,Supramax Bulk,218,35,11.3,33057,Steel Products,54510,MT
526,9331056,LR,Liberia,DFDS LINE III,Passenger Ferry,157,28,6,46527,Passengers,2073,PAX
527,9241383,SG,Singapore,MINERAL DIGNITY 8,Capesize Bulk,299,44,17,106012,Iron Ore,184820,MT
528,9857393,PA,Panama,STENA EXPLORER 3,Passenger Ferry,163,30,6,34007,Passengers,1561,PAX
529,9479809,KR,South Korea,CAPE DIGNITY,Capesize Bulk,289,46,16.7,106778,Iron Ore,204728,MT
530,9251529,HK,Hong Kong,TORM VICTORIA,MR Tanker,173,34,10.2,23552,Gasoline,45947,MT
531,9845001,PA,Panama,STOLT EXCELLENCE,Chemical Tanker,189,28,9.9,21383,Caustic Soda,40961,MT
532,9493932,HK,Hong Kong,BRITTANY EXPLORER II,Passenger Ferry,166,27,7.2,48594,Vehicles,3127,PAX
533,9865190,DK,Denmark,NORDIC PRIDE III,Suezmax,279,51,15.6,125750,Fuel Oil,154788,MT
534,9577546,GB,United Kingdom,ASIA TRADER 4,General Cargo,143,21,7.8,15306,General Cargo,14319,MT
535,9672563,SG,Singapore,STENA SPIRIT II,Panamax Tanker,226,36,11.4,40976,Fuel Oil,66887,MT
536,9517430,PA,Panama,BW LEADER 1,LPG Carrier,215,36,11.8,52159,LPG,69925,CBM
537,9880611,AE,UAE,NAVIGATOR STAR V,LPG Carrier,228,37,11.7,57584,Ammonia,57598,CBM
538,9825353,PA,Panama,TRANS FORTUNE IV,Supramax Bulk,199,30,11.7,29944,Cement,60829,MT
539,9882049,LR,Liberia,SCORPIO PROGRESS,Panamax Tanker,231,33,12.5,44156,Fuel Oil,59606,MT
540,9586636,LR,Liberia,ATLANTIC LINK IV,RoRo Cargo,187,29,7.1,27304,Trailers,5277,LM
541,9269800,JP,Japan,YANG MING TRUST II,Neo-Panamax Container,323,51,14.4,159300,Containers,14531,TEU
542,9056442,PA,Panama,DELTA STAR III,Suezmax,300,54,15.4,113252,Crude Oil,147001,MT
543,9742754,HK,Hong Kong,TRANS UNITY III,Supramax Bulk,207,32,12.4,41684,Grain,62029,MT
544,9101301,MT,Malta,EVERGREEN ASIA,Panamax Container,261,38,12.7,54025,Containers,4834,TEU
545,9907525,PA,Panama,HAFNIA PERFORMANCE,Panamax Tanker,233,36,12.4,46603,Clean Petroleum Products,66511,MT
546,9012013,DE,Germany,SUNNY RUBY II,Handysize Bulk,159,25,10.2,20617,Logs,36091,MT
547,9672182,JP,Japan,SCORPIO UNITY,Panamax Tanker,225,38,12.6,43102,Clean Petroleum Products,70280,MT
548,9984936,MT,Malta,NYK CHAMPION III,PCTC,215,31,9.7,56348,Vehicles,7418,CEU
549,9685879,MT,Malta,HAFNIA LAURA,MR Tanker,170,30,11.2,39797,Gasoline,46886,MT
550,9245436,MH,Marshall Islands,BIGLIFT GIANT II,Heavy Lift,164,33,9.5,18123,Project Cargo,23224,MT
551,9236707,HK,Hong Kong,MSC EXPRESS III,Neo-Panamax Container,322,51,13.5,112656,Containers,14398,TEU
552,9650621,MT,Malta,MARAN HORIZON,LNG Carrier,315,48,11.5,107796,LNG,257549,CBM
553,9317352,LR,Liberia,ASIA HARMONY II,General Cargo,132,26,10,14990,Timber,23134,MT
554,9686855,CN,China,DOF SUPPORTER V,Offshore Supply,74,20,6.2,2547,Fuel,5855,MT
555,9175846,US,United States,ATLANTIC SPIRIT V,Handymax Bulk,183,33,11.7,33732,Fertilizer,53644,MT
556,9454413,BS,Bahamas,NAVIG8 PRECISION II,Chemical Tanker,165,32,8.5,33382,Methanol,37642,MT
557,9497202,CN,China,ULTRA FORTUNE II,Supramax Bulk,202,31,12.5,35533,Cement,54820,MT
558,9066946,NL,Netherlands,FRESH STAR III,Reefer,177,25,8.7,14375,Dairy,520783,CBF
559,9593531,PA,Panama,TRANS MERCHANT IV,General Cargo,156,28,8.1,13122,Steel,13193,MT
560,9831407,JP,Japan,STENA MARY,MR Tanker,172,30,10.4,26881,Gasoline,48439,MT
561,9323013,BS,Bahamas,STAR MERCHANT III,Handymax Bulk,177,31,10.8,21330,Logs,48073,MT
562,9926234,LR,Liberia,ODFJELL CONFIDENCE 6,Chemical Tanker,176,27,12,25299,Phosphoric Acid,30956,MT
563,9922527,LR,Liberia,HOEGH HIGHWAY III,PCTC,210,36,8.2,79866,Cars,6824,CEU
564,9399685,PA,Panama,ODFJELL EXCELLENCE I,Chemical Tanker,156,22,9.9,26038,Methanol,26494,MT
565,9198199,CN,China,INTER HARMONY I,Supramax Bulk,218,33,12.7,38991,Sugar,58365,MT
566,9818758,MH,Marshall Islands,HAFNIA PROGRESS,Panamax Tanker,241,37,11.3,50232,Fuel Oil,68796,MT
567,9443650,MH,Marshall Islands,EVERGREEN PACIFIC I,Panamax Container,263,36,12.4,62479,Containers,4621,TEU
568,9313012,LR,Liberia,STENA PROGRESS I,Panamax Tanker,226,34,12.1,35715,Clean Petroleum Products,66398,MT
569,9620380,SG,Singapore,COASTAL JADE I,Handysize Bulk,165,28,8.9,16126,Grain,30198,MT
570,9292881,HK,Hong Kong,CAPE FORTUNE 5,Capesize Bulk,287,43,17,111964,Coal,205233,MT
571,9987681,FR,France,COASTAL EXPRESS II,Feeder Container,169,26,10.8,19964,Containers,2347,TEU
572,9340181,PA,Panama,TRANS HARMONY IV,Supramax Bulk,194,31,12.4,41756,Sugar,61251,MT
573,9112988,JP,Japan,DOF SUPPLIER,Offshore Supply,70,20,5.8,3381,Deck Cargo,4870,MT
574,9420919,LR,Liberia,INTER FORTUNE 3,Supramax Bulk,213,34,11.3,31682,Cement,53413,MT
575,9997664,SG,Singapore,INTER HARMONY V,Supramax Bulk,199,33,11.1,33916,Fertilizer,50474,MT
576,9164273,LR,Liberia,FRESH TRADER 7,Reefer,163,25,10.5,12362,Dairy,573483,CBF
577,9811489,TW,Taiwan,FINNLINES TRADER,RoRo Cargo,188,25,7.2,17090,Trailers,3825,LM
578,9690730,BS,Bahamas,ATLANTIC CHAMPION,VLCC,320,70,21.4,253529,Crude Oil,302701,MT
579,9671533,HK,Hong Kong,GOLDEN TRADER II,Panamax Bulk,233,32,13,48386,Grain,81353,MT
580,9721304,LR,Liberia,ZIM PACIFIC,Panamax Container,276,38,13.3,53398,Containers,4909,TEU
581,9225692,CY,Cyprus,EURO PROGRESS IV,General Cargo,135,21,8.2,12662,Bagged Goods,18739,MT
582,9312738,PA,Panama,SUNNY DIAMOND V,Handysize Bulk,167,24,9.2,20068,General Bulk,22185,MT
583,9016403,PA,Panama,TALLINK EXPLORER 6,Passenger Ferry,185,25,6.2,51681,Passengers,3359,PAX
584,9412059,HK,Hong Kong,BOURBON SUPPLIER,Offshore Supply,70,22,5.6,3228,Drilling Supplies,3440,MT
585,9886980,US,United States,HOEGH TRIUMPH I,PCTC,221,36,8.9,63523,Cars,8343,CEU
586,9829410,LR,Liberia,MINERAL GLORY 4,Capesize Bulk,270,50,17.6,105762,Coal,209247,MT
587,9163588,KR,South Korea,GASLOG GRACE,LNG Carrier,311,49,11.7,102171,LNG,194892,CBM
588,9665123,LR,Liberia,STOLT INTEGRITY IV,Chemical Tanker,169,25,11.4,30369,Phosphoric Acid,17740,MT
589,9948324,JP,Japan,SUEZ SPIRIT II,Suezmax,273,52,15.7,114863,Crude Oil,152710,MT
590,9884175,LR,Liberia,HYUNDAI SPIRIT III,LNG Carrier,295,44,11.5,98519,LNG,257734,CBM
591,9686385,PA,Panama,STOLT INTEGRITY,Chemical Tanker,157,27,11.8,16065,Phosphoric Acid,31498,MT
592,9163720,CY,Cyprus,SUNNY JADE 5,Handysize Bulk,176,29,9.5,22314,Grain,20670,MT
593,9585597,MH,Marshall Islands,NAVIG8 EXCELLENCE III,Chemical Tanker,181,22,9.1,16346,Methanol,42675,MT
594,9515115,HK,Hong Kong,SUPRA UNITY V,Supramax Bulk,191,32,12,30003,Fertilizer,64602,MT
595,9864971,SG,Singapore,GENER8 LIGHT I,Suezmax,289,55,17,107596,Fuel Oil,162072,MT
596,9864739,PA,Panama,NORDIC MAX,Suezmax,292,55,16,128838,Fuel Oil,137843,MT
597,9468087,DE,Germany,COLOR STAR 6,Passenger Ferry,203,31,6.6,44126,Passengers,2559,PAX
598,9460984,MH,Marshall Islands,BOURBON SUPPORTER II,Offshore Supply,78,21,6,4043,Fuel,4957,MT
599,9481263,LR,Liberia,SUPRA FORTUNE V,Supramax Bulk,192,32,12.8,32649,Fertilizer,52328,MT
600,9449840,LR,Liberia,STAR CARRIER,Handymax Bulk,190,30,12.2,31801,Cement,39542,MT
601,9387395,MT,Malta,ATLANTIC CARRIER I,RoRo Cargo,208,28,7.8,36949,Trailers,5468,LM
602,9959836,MH,Marshall Islands,HANDY JADE III,Handysize Bulk,171,29,8.5,22718,Logs,25009,MT
603,9183070,MH,Marshall Islands,STENA ANNE II,MR Tanker,175,31,10.8,33971,Clean Petroleum Products,47657,MT
604,9100292,SA,Saudi Arabia,ULTRA UNITY IV,Supramax Bulk,220,30,12,30701,Sugar,52118,MT
605,9639035,PA,Panama,STENA UNITY II,Panamax Tanker,238,37,12.3,51728,Clean Petroleum Products,74951,MT
606,9638039,DE,Germany,BRITTANY LINE 9,Passenger Ferry,175,31,7.2,49842,Passengers,2924,PAX
607,9908626,NO,Norway,ODFJELL INTEGRITY V,Chemical Tanker,153,22,8.5,19304,Vegetable Oils,42530,MT
608,9207628,KR,South Korea,ULTRA FORTUNE 2,Supramax Bulk,218,32,11.5,43953,Cement,61605,MT
609,9083387,ID,Indonesia,STOLT PRECISION 4,Chemical Tanker,163,30,9.8,19283,Chemicals,28439,MT
610,9376401,MH,Marshall Islands,ONE TRUST 9,Neo-Panamax Container,348,52,14,125100,Containers,12809,TEU
611,9273374,PA,Panama,SCORPIO EMMA,MR Tanker,183,34,11.1,29886,Clean Petroleum Products,42965,MT
612,9963064,MT,Malta,HAFNIA QUEEN,Aframax,270,47,13,62177,Dirty Petroleum Products,83986,MT
613,9133813,PA,Panama,COLOR EXPLORER,Passenger Ferry,164,26,7.2,27015,Vehicles,2928,PAX
614,9737703,TW,Taiwan,BIGLIFT DRAGON,Heavy Lift,158,29,8.3,28925,Heavy Lift,16894,MT
615,9202632,LR,Liberia,MARAN STAR,Suezmax,286,53,16.7,146172,Crude Oil,155039,MT
616,9838714,MY,Malaysia,BOURBON SUPPLIER III,Offshore Supply,81,19,7.4,5460,Water,3392,MT
617,9185612,LR,Liberia,ATLANTIC LINK 5,RoRo Cargo,177,32,8.7,27018,Project Cargo,4781,LM
618,9800769,MH,Marshall Islands,ASIA PROGRESS IV,General Cargo,154,22,7.6,13503,Bagged Goods,8407,MT
619,9609028,PA,Panama,SWIRE SERVER,Offshore Supply,84,19,7,4050,Fuel,5931,MT
620,9128195,CY,Cyprus,SWIRE SERVER IV,Offshore Supply,95,18,5.6,4110,Drilling Supplies,5646,MT
621,9263256,ID,Indonesia,TRANS TRADER 4,General Cargo,120,23,7.9,11033,Timber,14565,MT
622,9456367,MT,Malta,EVERGREEN ATLANTIC V,Panamax Container,282,38,13.1,56182,Containers,4340,TEU
623,9812764,NO,Norway,COSCO TRIUMPH,ULCV,384,62,16.2,229196,Containers,21310,TEU
624,9656918,CN,China,NORDIC INTEGRITY 7,Chemical Tanker,173,27,9.2,17545,Chemicals,16749,MT
625,9779111,PA,Panama,STAR PROSPERITY IV,Capesize Bulk,300,45,17.6,95886,Coal,173964,MT
626,9756720,MT,Malta,MOL HIGHWAY II,PCTC,197,31,9.5,45105,Cars,4330,CEU
627,9995545,ID,Indonesia,ATLANTIC HIGHWAY II,RoRo Cargo,197,26,9.2,28290,Heavy Equipment,2768,LM
628,9849178,MT,Malta,CARNIVAL WONDER,Cruise Ship,318,34,7.7,186300,Passengers,5422,PAX
629,9588758,CY,Cyprus,CMA CGM GLORY,ULCV,387,61,15.9,237713,Containers,21149,TEU
630,9244474,SG,Singapore,WAN HAI EUROPE IV,Panamax Container,282,34,13,66370,Containers,5250,TEU
631,9119156,CN,China,HANDY SPIRIT IV,Handymax Bulk,189,28,11.2,20485,Fertilizer,45382,MT
632,9761861,MH,Marshall Islands,TORM SPIRIT II,Aframax,231,48,13,84243,Crude Oil,108452,MT
633,9805126,PA,Panama,FRESH TRADER V,Reefer,136,23,8.1,14556,Fish,530558,CBF
634,9169367,US,United States,HYUNDAI HORIZON 6,LNG Carrier,310,43,11.3,138690,LNG,253953,CBM
635,9257854,BS,Bahamas,PIL ASIA,Panamax Container,283,32,12.6,68456,Containers,4023,TEU
636,9464421,MH,Marshall Islands,BIGLIFT STAR,Heavy Lift,172,29,8.1,17353,Heavy Lift,22108,MT
637,9671235,MT,Malta,REGIONAL SERVICE 1,Feeder Container,151,29,10.9,9714,Containers,857,TEU
638,9968580,CY,Cyprus,HAPPY FALCON 4,Heavy Lift,177,30,7.6,12134,Heavy Lift,31432,MT
639,9245368,CY,Cyprus,MINERVA SPIRIT,Suezmax,284,52,15.1,148788,Fuel Oil,122358,MT
640,9841401,GR,Greece,HAFNIA QUEEN II,Aframax,240,45,12.8,54084,Crude Oil,114163,MT
641,9239902,PA,Panama,TIDEWATER SUPPORTER II,Offshore Supply,89,23,6.8,4307,Deck Cargo,5040,MT
642,9300797,SG,Singapore,HANSA STAR,Heavy Lift,180,31,9.3,18187,Heavy Lift,25222,MT
643,9356891,LR,Liberia,STAR CARRIER III,Handymax Bulk,199,33,10.2,22362,Fertilizer,50000,MT
644,9946804,LR,Liberia,MOL TRIUMPH I,PCTC,195,36,9,61657,Vehicles,7884,CEU
645,9391322,CN,China,ARCTIC CARRIER IV,Reefer,165,25,8.7,14521,Dairy,427116,CBF
646,9073778,MT,Malta,TRANS PROGRESS 6,General Cargo,158,21,9.6,9861,General Cargo,9388,MT
647,9799520,LR,Liberia,NORDIC PRINCESS,Aframax,248,42,14,63694,Dirty Petroleum Products,94439,MT
648,9296543,MH,Marshall Islands,HAFNIA PRINCESS,Aframax,254,47,14.5,67125,Crude Oil,105498,MT
649,9041818,JP,Japan,DOLE EXPRESS,Reefer,149,24,8.2,12285,Meat,624887,CBF
650,9257752,ID,Indonesia,TRANS UNITY IV,Supramax Bulk,203,30,12.8,33641,Grain,54690,MT
651,9134645,HK,Hong Kong,MOL SPIRIT,PCTC,205,31,8.1,64180,Vehicles,5580,CEU
652,9011961,HK,Hong Kong,ODFJELL CONFIDENCE I,Chemical Tanker,174,24,10.9,18801,Chemicals,15462,MT
653,9794419,HK,Hong Kong,HANSA RANGER 7,Heavy Lift,146,30,7.2,28980,Project Cargo,33581,MT
654,9107431,SG,Singapore,ATLANTIC HIGHWAY,RoRo Cargo,187,31,8.4,39226,Trailers,3813,LM
655,9750134,MT,Malta,STOLT PRECISION 3,Chemical Tanker,179,30,11.5,11156,Phosphoric Acid,18500,MT
656,9575633,KR,South Korea,BALTIC STAR,Aframax,240,42,13.5,53622,Fuel Oil,96531,MT
657,9446370,GB,United Kingdom,HANSA DRAGON,Heavy Lift,152,32,7.8,27773,Offshore Equipment,10906,MT
658,9586871,IN,India,SK PIONEER,LNG Carrier,336,48,11.8,112190,LNG,174709,CBM
659,9909192,MT,Malta,STENA UNITY 7,Panamax Tanker,220,38,11.8,52905,Gasoil,58390,MT
660,9540092,IN,India,FRONT SPIRIT,VLCC,321,67,22,314601,Crude Oil,299901,MT
661,9662020,JP,Japan,BW PRINCESS,LPG Carrier,253,37,11.5,59123,Ammonia,68781,CBM
662,9685697,BS,Bahamas,REGIONAL EXPRESS II,Feeder Container,136,24,8.6,25112,Containers,2376,TEU
663,9325229,AE,UAE,MSC ACE,ULCV,383,59,14.9,212700,Containers,23333,TEU
664,9776778,HK,Hong Kong,TORM SOFIA I,MR Tanker,184,28,10.9,37956,Naphtha,54059,MT
665,9009058,SG,Singapore,BW LEADER,LPG Carrier,208,37,11.7,43041,Butane,63628,CBM
666,9823175,KR,South Korea,BALTIC QUEEN 8,Aframax,268,44,15,74720,Fuel Oil,93373,MT
667,9070125,LR,Liberia,COASTAL RUBY V,Handysize Bulk,161,30,10,19685,Logs,26911,MT
668,9707975,MT,Malta,ASIA TRADER II,General Cargo,162,24,7.9,12899,General Cargo,15593,MT
669,9624933,DK,Denmark,HAFNIA PERFORMANCE IV,Panamax Tanker,243,36,11.1,42280,Fuel Oil,55823,MT
670,9357715,LR,Liberia,SUEZ STAR,Suezmax,271,55,16.8,153242,Crude Oil,124012,MT
671,9187770,DK,Denmark,YANG MING FUTURE III,Neo-Panamax Container,341,52,14.4,132879,Containers,15536,TEU
672,9924532,MH,Marshall Islands,HAFNIA VICTORIA III,MR Tanker,182,29,10.8,28650,Jet Fuel,42500,MT
673,9752332,DK,Denmark,FEEDER LINK I,Feeder Container,149,26,10.1,19305,Containers,2962,TEU
674,9665521,BS,Bahamas,COLOR STAR V,Passenger Ferry,183,28,7.4,20427,Passengers,2004,PAX
675,9582079,MH,Marshall Islands,NAVIG8 PRECISION I,Chemical Tanker,180,31,11.7,27615,Chemicals,35813,MT
676,9580244,MH,Marshall Islands,DOLE STAR IV,Reefer,168,28,10.4,14719,Fish,419647,CBF
677,9556608,IT,Italy,INTER FORTUNE III,Supramax Bulk,208,33,11.1,31441,Grain,51304,MT
678,9586275,MT,Malta,HANDY MERCHANT II,Handymax Bulk,196,33,10.5,32821,Steel Coils,48413,MT
679,9744839,HK,Hong Kong,GOLDEN HARVEST III,Panamax Bulk,220,37,13.5,48403,Iron Ore,72958,MT
680,9869908,GB,United Kingdom,DOF SERVER II,Offshore Supply,100,24,7.3,4792,Water,3117,MT
681,9198985,KR,South Korea,OCEAN DIGNITY V,Capesize Bulk,276,47,17.5,95136,Iron Ore,206418,MT
682,9680155,MT,Malta,K LINE TRIUMPH,PCTC,215,34,10.3,71473,Vehicles,6284,CEU
683,9199007,KR,South Korea,ODFJELL EXCELLENCE II,Chemical Tanker,179,23,8.6,21323,Methanol,22737,MT
684,9700037,BS,Bahamas,BRITTANY EXPLORER,Passenger Ferry,198,25,7.2,24534,Vehicles,1859,PAX
685,9874994,CN,China,HAFNIA SPIRIT II,Panamax Tanker,238,32,12.8,45372,Clean Petroleum Products,73935,MT
686,9078150,HK,Hong Kong,ISLAND PEARL IV,Handysize Bulk,145,26,10.1,19746,Grain,35854,MT
687,9331594,MH,Marshall Islands,STAR DIGNITY IV,Capesize Bulk,275,44,17.2,103358,Coal,197131,MT
688,9432752,AE,UAE,DORIAN STAR II,LPG Carrier,237,40,11.5,64925,Butane,55229,CBM
689,9026167,MH,Marshall Islands,MOL LEADER,PCTC,220,31,8.5,54770,Vehicles,4542,CEU
690,9843442,CN,China,EURO HARMONY V,General Cargo,156,26,8.5,10001,Steel,16605,MT
691,9284613,MH,Marshall Islands,JUMBO DRAGON I,Heavy Lift,144,26,8,23310,Heavy Lift,16593,MT
692,9569285,SG,Singapore,FINNLINES HIGHWAY,RoRo Cargo,170,25,7.1,20357,Project Cargo,2665,LM
693,9903274,IN,India,HAFNIA LIGHT III,Aframax,242,44,14.3,71720,Crude Oil,100257,MT
694,9541239,MH,Marshall Islands,BALTIC SPIRIT,Aframax,248,42,13.4,60131,Crude Oil,89629,MT
695,9873990,PA,Panama,TRANS MERCHANT I,General Cargo,129,27,9,7665,Timber,22327,MT
696,9895034,ID,Indonesia,SUEZ GLORY,Suezmax,274,54,15.4,130747,Fuel Oil,135245,MT
697,9967021,PA,Panama,ATLANTIC MERCHANT II,Handymax Bulk,178,33,11.9,23048,Steel Coils,45724,MT
698,9175674,DE,Germany,MAERSK EAGLE II,Neo-Panamax Container,361,48,13.9,101670,Containers,14042,TEU
699,9721070,NL,Netherlands,COASTAL EXPRESS III,Feeder Container,192,27,9.9,18452,Containers,2404,TEU
700,9810201,IN,India,YANG MING EAGLE,Neo-Panamax Container,359,50,15,135201,Containers,13558,TEU
701,9548804,IN,India,SAL RANGER,Heavy Lift,156,35,9.2,17315,Heavy Lift,22577,MT
702,9748536,MT,Malta,DOLE EXPRESS 3,Reefer,135,24,8.1,8736,Dairy,460269,CBF
703,9297902,LR,Liberia,EVERGREEN EUROPE II,Panamax Container,284,36,12.1,57359,Containers,4192,TEU
704,9450324,MT,Malta,HAFNIA STAR 8,Aframax,255,45,12.9,80324,Fuel Oil,105767,MT
705,9846424,US,United States,COASTAL SERVICE II,Feeder Container,178,25,8.4,14824,Containers,2670,TEU
706,9432049,PA,Panama,NORDIC SPIRIT,Aframax,269,43,12.7,72544,Dirty Petroleum Products,115933,MT
707,9962132,CN,China,CMA CGM TRIUMPH V,ULCV,381,59,16.3,220183,Containers,22726,TEU
708,9350979,GR,Greece,AVANCE PIONEER V,LPG Carrier,211,35,10.6,44931,Ammonia,80170,CBM
709,9515923,MH,Marshall Islands,FINNLINES HIGHWAY IV,RoRo Cargo,183,30,9,39109,Trailers,4735,LM
710,9389517,MT,Malta,MINERAL VICTORY V,Capesize Bulk,287,47,16.1,115117,Coal,188848,MT
711,9997932,CN,China,TRANS PROGRESS II,General Cargo,137,21,8.3,16056,General Cargo,8433,MT
712,9029424,HK,Hong Kong,EURO MERCHANT V,General Cargo,166,26,7.7,18936,Timber,21626,MT
713,9197836,GB,United Kingdom,ROYAL SYMPHONY III,Cruise Ship,358,39,7.9,153420,Passengers,5866,PAX
714,9079468,MH,Marshall Islands,STENA SPIRIT V,Panamax Tanker,221,38,13.4,48688,Clean Petroleum Products,56368,MT
715,9270791,BS,Bahamas,HAFNIA SPIRIT 7,Panamax Tanker,231,32,13.4,40548,Fuel Oil,57144,MT
716,9421744,HK,Hong Kong,ATLANTIC LINK I,RoRo Cargo,190,25,7.8,15012,Heavy Equipment,5422,LM
717,9397158,BS,Bahamas,ARDMORE PROGRESS III,Panamax Tanker,241,34,12.9,45514,Fuel Oil,69257,MT
718,9404528,PA,Panama,K LINE SPIRIT,PCTC,210,35,8.2,70516,Cars,7366,CEU
719,9811177,PA,Panama,DISNEY SYMPHONY V,Cruise Ship,292,34,7.8,106233,Passengers,6323,PAX
720,9022176,MT,Malta,ATLANTIC MERCHANT III,Handymax Bulk,196,30,12.4,23465,Grain,44284,MT
721,9788128,MT,Malta,EAGLE NAVIGATOR V,VLCC,340,66,21.1,169203,Crude Oil,293185,MT
722,9411504,BS,Bahamas,OCEAN VOYAGER,VLCC,328,64,20.7,244140,Crude Oil,301105,MT
723,9183027,BS,Bahamas,MAERSK EXPRESS,Neo-Panamax Container,357,52,14.2,126721,Containers,12383,TEU
724,9783665,JP,Japan,TALLINK ADVENTURER IV,Passenger Ferry,173,31,6.5,46850,Passengers,3084,PAX
725,9925915,LR,Liberia,GENER8 SPIRIT,Suezmax,284,54,15.3,82961,Fuel Oil,132168,MT
726,9447854,SG,Singapore,TRANS HARMONY I,General Cargo,145,24,8,15972,General Cargo,14910,MT
727,9114252,KR,South Korea,DOLE TRADER,Reefer,138,27,9,15401,Fish,481746,CBF
728,9012683,JP,Japan,HANDY CARRIER V,Handymax Bulk,195,28,10.4,30078,Logs,41153,MT
729,9370343,GB,United Kingdom,HANDY RUBY V,Handysize Bulk,168,29,9.2,20983,Scrap Metal,29082,MT
730,9781321,PA,Panama,ARDMORE UNITY II,Panamax Tanker,246,38,12.7,43547,Gasoil,72167,MT
731,9866852,LR,Liberia,EAGLE CHAMPION,VLCC,320,59,19.2,173015,Crude Oil,295170,MT
732,9698080,SG,Singapore,CARNIVAL FANTASY,Cruise Ship,330,38,7.6,191267,Passengers,5505,PAX
733,9627437,CY,Cyprus,GASLOG SPIRIT,LNG Carrier,298,48,12,122272,LNG,245437,CBM
734,9639820,SG,Singapore,PACIFIC CARRIER V,Panamax Bulk,226,37,13.9,36961,Coal,68782,MT
735,9737956,PA,Panama,EURO HARMONY III,General Cargo,128,21,8.4,8318,Bagged Goods,18386,MT
736,9216308,PA,Panama,COASTAL EXPRESS I,Feeder Container,153,26,8.9,8310,Containers,1312,TEU
737,9570254,CY,Cyprus,GASLOG PIONEER 4,LNG Carrier,319,52,12.4,96463,LNG,184447,CBM
738,9159716,SG,Singapore,YANG MING HARMONY I,Neo-Panamax Container,358,51,14,132988,Containers,13843,TEU
739,9341522,MT,Malta,NORTH SEA LINK II,RoRo Cargo,178,32,7.7,23764,Heavy Equipment,5046,LM
740,9845601,BS,Bahamas,MINERVA LIGHT,Suezmax,282,50,16.3,155596,Fuel Oil,141291,MT
741,9963870,CN,China,ZIM ASIA V,Panamax Container,279,36,13.2,62547,Containers,4093,TEU
742,9371004,PA,Panama,MSC EXCELLENCE,ULCV,385,58,15.1,211759,Containers,22555,TEU
743,9775666,SG,Singapore,MARAN GRACE IV,LNG Carrier,292,45,12,154335,LNG,218108,CBM
744,9974232,GR,Greece,HANDY CARRIER 7,Handymax Bulk,199,28,11.7,22190,Cement,37473,MT
745,9756631,MH,Marshall Islands,ZIM EUROPE II,Panamax Container,268,35,13.2,74727,Containers,4138,TEU
746,9230714,TW,Taiwan,GENER8 STAR,Suezmax,282,48,15.6,87090,Fuel Oil,161152,MT
747,9984617,CY,Cyprus,DORIAN STAR,LPG Carrier,256,42,11.5,37356,LPG,66337,CBM
748,9516317,MH,Marshall Islands,ONE HARMONY,Neo-Panamax Container,362,52,14.9,127074,Containers,12711,TEU
749,9373412,AE,UAE,CAPE PROSPERITY IV,Capesize Bulk,297,43,16,95057,Coal,190403,MT
750,9584290,MT,Malta,ONE FUTURE,Neo-Panamax Container,337,50,14.6,109915,Containers,15113,TEU
751,9707110,GR,Greece,PANA MERCHANT III,Panamax Bulk,250,37,13.8,36386,Coal,65778,MT
752,9440260,LR,Liberia,NYK HIGHWAY II,PCTC,229,35,10.1,52369,Cars,6473,CEU
753,9090895,US,United States,ULTRA PROGRESS 6,Supramax Bulk,204,35,11.1,38521,Cement,57131,MT
754,9089414,HK,Hong Kong,DOF SUPPLIER III,Offshore Supply,82,22,7.4,5975,Water,5121,MT
755,9395368,PA,Panama,TORM SPIRIT V,Aframax,264,42,14.5,65411,Crude Oil,87119,MT
756,9442467,IN,India,ASIA TRADER IV,General Cargo,126,27,7.9,18212,Machinery,17819,MT
757,9318875,MH,Marshall Islands,BOURBON SUPPLIER I,Offshore Supply,76,19,5.8,4053,Water,5071,MT
758,9073508,CN,China,FINNLINES HIGHWAY I,RoRo Cargo,151,26,7.4,17895,Trailers,5093,LM
759,9002443,MH,Marshall Islands,DELTA PRIDE IV,Suezmax,300,55,15.2,131219,Fuel Oil,135989,MT
760,9458479,LR,Liberia,FEEDER SHUTTLE II,Feeder Container,193,25,9.9,18565,Containers,2499,TEU
761,9775640,BS,Bahamas,FINNLINES HIGHWAY 7,RoRo Cargo,164,25,7.4,40320,Rolling Cargo,5178,LM
762,9399298,JP,Japan,ULTRA PROGRESS,Supramax Bulk,207,32,11.8,31559,Grain,51395,MT
763,9879322,IN,India,TRANS FORTUNE I,Supramax Bulk,200,32,12,32527,Grain,58374,MT
764,9354030,LR,Liberia,STOLT EXCELLENCE II,Chemical Tanker,181,31,9.1,21584,Chemicals,33350,MT
765,9951133,GR,Greece,DORIAN STAR III,LPG Carrier,239,32,11,50593,LPG,61807,CBM
